Number,First Line,Category,Tune Name,Meter
1,The Advent of Our King,Advent,ST. THOMAS,SM
2,"Savior of the Nations, Come",Advent,"NUN KOMM, DER HEIDEN HEILAND",77 77
3,"Lift Up Your Heads, You Mighty Gates",Advent,MACHT HOCH DIE TÜR,88 88 88 66
4,"Lift Up Your Heads, You Mighty Gates",Advent,MILWAUKEE,88 88 88 66
5,As Angels Joyed with One Accord,Advent,PUER NOBIS NASCITUR,LM
6,"Come, O Long-Expected Jesus",Advent,ST. HILARY,87 87 D
7,"Rejoice, Rejoice, Believers",Advent,HAF TRONES LAMPA FÄRDIG,76 76 D
8,"Come, O Precious Ransom, Come",Advent,MEINEN JESUM LASS ICH NICHT,78 78 77
9,"Jesus, Your Church with Longing Eyes",Advent,"O JESU CHRISTE, WAHRES LICHT",LM
10,The Bridegroom Soon Will Call Us,Advent,ACH GOTT VOM HIMMELREICHE,76 76 D
11,"Comfort, Comfort All My People",Advent,FREU DICH SEHR,87 87 77 88
12,Hark the Glad Sound! The Savior Comes,Advent,CHESTERFIELD,CM
13,There's a Voice in the Wilderness Crying,Advent,ASCENSION,Irregular
14,"Arise, O Christian People",Advent,AUS MINES HERZENS GRUNDE,76 76 67 76
15,Hark! A Thrilling Voice Is Sounding,Advent,MERTON,87 87
16,On Jordan's Bank the Baptist's Cry,Advent,PUER NOBIS NASCITUR,LM
17,God's Own Son Most Holy,Advent,GOTTES SOHN IST KOMMEN,66 66 66
18,"O Lord, How Shall I Meet You",Advent,WIE SOLL ICH DICH EMPFANGEN,76 76 D
19,"O Lord, How Shall I Meet You",Advent,VALET WILL ICH DIR GEBEN,76 76 D
20,When All the World Was Cursed,Advent,WAS FRAG ICH NACH DER WELT,67 67 66 66
21,Hosanna to the Coming Lord,Advent,VOM HIMMEL HOCH,LM
22,"O Savior, Rend the Heavens Wide",Advent,"O HEILAND, REISS DIE HIMMEL AUF ",LM
23,"Oh, Come, Oh, Come, Emmanuel",Advent,"VENI, EMMANUEL",LM with Refrain
24,The Angel Gabriel from Heaven Came,Advent,GABRIEL’S MESSAGE,10 10 12 10
25,The King Shall Come,Advent,CONSOLATION,CM
26,"Jesus Came, the Heavens Adoring",Advent,"SIEH, HIER BIN ICH, EHRENKÖNIG",87 87 87
27,"O Jesus, Lamb of God, You Are",Advent,WEIMAR,LM
28,Let the Earth Now Praise the Lord,Advent,"NUN KOMM, DER HEIDEN HEILAND",77 77
29,"Lo, He Comes with Clouds Descending",Advent,PICARDY,87 87 87
30,"Rise, Arise",Advent,FAHRE FORT,67 87 89 6
31,"O Lord of Light, Who Made the Stars",Advent,CONDITOR ALME SIDERUM,LM
32,When Sinners See Their Lost Condition,Advent,"WER WEISS, WIE NAHE",98 98 88
33,"All Praise to You, Eternal God",Christmas,"GELOBET SEIST DU, JESU CHRIST",LM with Alleluia
34,"Now Sing We, Now Rejoice",Christmas,IN DULCI JUBILO,66 66 66 55
35,Of the Father’s Love Begotten,Christmas,DIVINUM MYSTERIUM,87 87 877
36,A Great and Mighty Wonder,Christmas,ES IST EIN ROS,76 76 676
37,Once Again My Heart Rejoices,Christmas,FRÖHLICH SOLL MEIN HERZE SPRINGEN,8 33 6 D
38,From Heaven Above to Earth I Come,Christmas,VOM HIMMEL HOCH,LM
39,"Now Praise We Christ, the Holy One",Christmas,CHRISTUM WIR SOLLEN LOBEN SCHON,LM
40,"O Jesus Christ, Your Manger Is",Christmas,"O JESU CHRIST, DEIN KRIPPLEIN IST",44 11 D
41,Let All Together Praise Our God,Christmas,"LOBT GOTT, IHR CHRISTEN",86 866
42,"Come, Your Hearts and Voices Raising",Christmas,QUEM PASTORES,88 87
43,To Thee My Heart I Offer,Christmas,CORDIS DONUM,76 76 88 86
44,"Break Forth, O Beauteous Heavenly Light",Christmas,ERMUNTRE DICH,87 87 88 77
45,"Oh, Rejoice, All Christians, Loudly",Christmas,"FREUET EUCH, IHR CHRISTEN ALLE",877 877 with Refrain
46,"Your Little Ones, Dear Lord, Are We",Christmas,HER KOMMER DINE ARME SMAA,LM
47,"Behold, a Branch Is Growing",Christmas,ES IST EIN ROS,76 76 676
